loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000, Rejected
2,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000, Rejected
3,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000, Approved
4,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000, Rejected
5,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000, Approved
6,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000, Approved
7,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000, Rejected
8,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000, Rejected
9,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000, Rejected
10,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000, Rejected
11,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000, Rejected
12,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000, Rejected
13,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000, Approved
14,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000, Approved
15,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000, Rejected
16,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000, Rejected
17,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000, Approved
18,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000, Rejected
19,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000, Rejected
20,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000, Approved
21,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000, Approved
22,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000, Approved
23,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000, Approved
24,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000, Rejected
25,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000, Approved
26,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000, Rejected
27,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000, Approved
28,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000, Rejected
29,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000, Approved
30,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000, Approved
31,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000, Approved
32,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000, Approved
33,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000, Approved
34,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000, Rejected
35,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000, Approved
36,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000, Approved
37,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000, Rejected
38,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000, Approved
39,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000, Rejected
40,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000, Approved
41,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000, Approved
42,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000, Approved
43,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000, Rejected
44,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000, Rejected
45,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000, Approved
46,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000, Approved
47,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000, Approved
48,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000, Rejected
49,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000, Approved
50,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000, Approved
51,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000, Rejected
52,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000, Rejected
53,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000, Approved
54,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000, Rejected
55,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000, Rejected
56,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000, Rejected
57,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000, Approved
58,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000, Approved
59,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000, Rejected
60,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000, Rejected
61,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000, Approved
62,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000, Rejected
63,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000, Rejected
64,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000, Rejected
65,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000, Approved
66,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000, Rejected
67,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000, Rejected
68,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000, Approved
69,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000, Approved
